City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Salinas,36.6777,-121.6555,56.07,93,100,5.75,US,"Oct 21, 2022"
Alofi,-19.0595,-169.9187,77.13,79,67,10.04,NU,"Oct 21, 2022"
Bilma,18.6853,12.9164,89.56,11,2,6.76,NE,"Oct 21, 2022"
Togitsu,32.8333,129.85,67.98,82,100,3.49,JP,"Oct 21, 2022"
Marzuq,14.4,46.4667,82.58,18,0,9.62,YE,"Oct 21, 2022"
Ilulissat,69.2167,-51.1,30.22,93,75,0.0,GL,"Oct 21, 2022"
Hithadhoo,-0.6,73.0833,82.62,74,100,10.29,MV,"Oct 21, 2022"
Taksimo,56.3444,114.8794,21.65,85,70,2.15,RU,"Oct 21, 2022"
Torbay,47.6666,-52.7314,55.49,96,75,6.91,CA,"Oct 21, 2022"
Mombetsu,44.3525,143.3525,52.2,70,100,6.67,JP,"Oct 21, 2022"
Mugumu,-1.85,34.7,82.58,21,95,10.8,TZ,"Oct 21, 2022"
Kayerkan,69.3497,87.7602,32.99,99,100,9.48,RU,"Oct 21, 2022"
Haines Junction,60.7522,-137.5108,34.81,95,100,1.48,CA,"Oct 21, 2022"
Ternate,0.8,127.4,82.45,76,98,3.24,ID,"Oct 21, 2022"
Narsaq,60.9167,-46.05,34.02,96,100,10.8,GL,"Oct 21, 2022"
Barrow,71.2906,-156.7887,26.62,86,100,23.02,US,"Oct 21, 2022"
Suntar,62.1444,117.6319,21.83,97,99,3.22,RU,"Oct 21, 2022"
Cayenne,4.9333,-52.3333,89.64,62,75,2.3,GF,"Oct 21, 2022"
Camacha,33.0833,-16.3333,67.42,83,75,8.05,PT,"Oct 21, 2022"
Butaritari,3.0707,172.7902,81.3,73,100,12.21,KI,"Oct 21, 2022"
Turukhansk,65.8167,87.9833,34.38,98,100,16.02,RU,"Oct 21, 2022"
Itarema,-2.9248,-39.9167,88.11,51,100,18.19,BR,"Oct 21, 2022"
Pevek,69.7008,170.3133,22.82,94,100,1.14,RU,"Oct 21, 2022"
Ribeira Grande,38.5167,-28.7,68.4,60,75,17.27,PT,"Oct 21, 2022"
Castro,-24.7911,-50.0119,63.12,94,100,10.22,BR,"Oct 21, 2022"
Saint Paul Harbor,57.79,-152.4072,44.11,53,0,4.61,US,"Oct 21, 2022"
Isangel,-19.55,169.2667,73.31,80,87,13.11,VU,"Oct 21, 2022"
Tiksi,71.6872,128.8694,2.82,98,36,7.38,RU,"Oct 21, 2022"
Momignies,50.0271,4.1652,69.55,79,84,12.28,BE,"Oct 21, 2022"
Chernyshevskiy,63.0128,112.4714,26.29,86,100,4.9,RU,"Oct 21, 2022"
Luwuk,-0.9516,122.7875,79.47,86,98,0.2,ID,"Oct 21, 2022"
Celestún,20.8667,-90.4,75.9,60,6,5.14,MX,"Oct 21, 2022"
Berlevåg,70.8578,29.0864,32.0,74,100,9.1,NO,"Oct 21, 2022"
Cape Town,-33.9258,18.4232,72.1,53,0,27.63,ZA,"Oct 21, 2022"
Aksu,41.1231,80.2644,57.78,30,0,3.27,CN,"Oct 21, 2022"
Hambantota,6.1241,81.1185,77.34,100,100,5.75,LK,"Oct 21, 2022"
Esim,4.8699,-2.2405,82.78,69,87,8.99,GH,"Oct 21, 2022"
Paraíso,9.8383,-83.8656,70.41,81,100,1.88,CR,"Oct 21, 2022"
St. George's,12.0564,-61.7485,82.99,75,47,6.51,GD,"Oct 21, 2022"
Kavieng,-2.5744,150.7967,81.93,73,51,7.0,PG,"Oct 21, 2022"
Grindavik,63.8424,-22.4338,43.27,65,0,6.91,IS,"Oct 21, 2022"
Bairiki Village,1.3292,172.9752,80.6,78,20,5.75,KI,"Oct 21, 2022"
Kiryat Gat,31.61,34.7642,80.4,100,1,13.76,IL,"Oct 21, 2022"
Yellowknife,62.456,-114.3525,26.67,71,55,7.78,CA,"Oct 21, 2022"
Tegul'det,57.3064,88.1667,38.64,82,89,8.41,RU,"Oct 21, 2022"
Aripuanã,-9.1667,-60.6333,90.25,52,100,2.48,BR,"Oct 21, 2022"
Jalu,29.0331,21.5482,80.37,32,68,7.43,LY,"Oct 21, 2022"
Vega de Alatorre,20.0333,-96.6333,72.54,82,99,0.65,MX,"Oct 21, 2022"
Yeola,20.0333,74.4833,75.87,73,25,9.28,IN,"Oct 21, 2022"
Terme,41.2092,36.9739,57.13,73,73,4.94,TR,"Oct 21, 2022"
Lata,40.1629,-8.3327,67.91,72,100,9.86,PT,"Oct 21, 2022"
Cabo San Lucas,22.8909,-109.9124,79.52,84,47,6.82,MX,"Oct 21, 2022"
Saint George,37.1041,-113.5841,52.39,40,0,0.0,US,"Oct 21, 2022"
Alexandria,31.2156,29.9553,73.71,62,1,12.84,EG,"Oct 21, 2022"
Arraial do Cabo,-22.9661,-42.0278,76.24,77,97,18.28,BR,"Oct 21, 2022"
Hong Kong,22.2855,114.1577,78.19,76,100,8.99,HK,"Oct 21, 2022"
Tazovsky,67.4667,78.7,33.39,98,100,16.6,RU,"Oct 21, 2022"
Cedar City,37.6775,-113.0619,50.4,64,0,3.44,US,"Oct 21, 2022"
Airai,-8.9266,125.4092,64.29,90,50,0.09,TL,"Oct 21, 2022"
Chui,-33.6971,-53.4616,63.37,86,100,11.16,UY,"Oct 21, 2022"
Pran Buri,12.3847,99.9098,81.9,99,99,4.09,TH,"Oct 21, 2022"
Kapaa,22.0752,-159.319,78.78,86,100,13.8,US,"Oct 21, 2022"
Micoud,13.8167,-60.9,85.98,74,20,18.41,LC,"Oct 21, 2022"
Khatanga,71.9667,102.5,7.09,94,86,3.27,RU,"Oct 21, 2022"
Vangaindrano,-23.35,47.6,74.89,67,17,10.89,MG,"Oct 21, 2022"
San Cristobal,7.7669,-72.225,79.92,59,34,1.54,VE,"Oct 21, 2022"
Baykit,61.67,96.37,30.65,93,59,3.29,RU,"Oct 21, 2022"
Dikson,73.5069,80.5464,32.99,88,100,11.72,RU,"Oct 21, 2022"
Vung Tau,10.346,107.0843,81.14,80,83,16.44,VN,"Oct 21, 2022"
Upernavik,72.7868,-56.1549,14.56,71,97,9.73,GL,"Oct 21, 2022"
Kempten (Allgäu),47.7267,10.3139,60.78,96,100,4.52,DE,"Oct 21, 2022"
Luganville,-15.5333,167.1667,77.61,86,83,9.73,VU,"Oct 21, 2022"
Deniliquin,-35.5333,144.9667,61.03,94,94,6.33,AU,"Oct 21, 2022"
Novo Aripuanã,-5.1206,-60.3797,92.84,49,100,2.71,BR,"Oct 21, 2022"
Saskylakh,71.9167,114.0833,10.33,97,66,4.45,RU,"Oct 21, 2022"
Souillac,-20.5167,57.5167,73.06,76,39,12.15,MU,"Oct 21, 2022"
Saint-Philippe,-21.3585,55.7679,74.79,82,49,11.48,RE,"Oct 21, 2022"
Los Llanos de Aridane,28.6585,-17.9182,74.95,80,20,5.01,ES,"Oct 21, 2022"
Trairi,-3.2778,-39.2689,87.26,50,100,17.9,BR,"Oct 21, 2022"
Wasilla,61.5814,-149.4394,37.06,97,100,0.0,US,"Oct 21, 2022"
Avera,33.194,-82.5271,53.38,36,0,4.05,US,"Oct 21, 2022"
Bobcaygeon,44.5462,-78.542,45.88,72,25,11.21,CA,"Oct 21, 2022"
Bad Dürrheim,48.0167,8.5333,59.11,91,100,8.72,DE,"Oct 21, 2022"
Mariehamn,60.0973,19.9348,44.46,81,0,3.44,AX,"Oct 21, 2022"
Bambous Virieux,-20.3428,57.7575,75.22,78,27,12.37,MU,"Oct 21, 2022"
Thompson,55.7435,-97.8558,36.18,73,100,12.93,CA,"Oct 21, 2022"
Bodden Town,19.2833,-81.25,79.0,89,20,4.61,KY,"Oct 21, 2022"
Katsuura,35.1333,140.3,68.09,71,42,15.01,JP,"Oct 21, 2022"
Mangai,-4.05,19.5333,82.44,64,100,1.41,CD,"Oct 21, 2022"
Mākum,27.5,95.45,68.88,86,0,2.57,IN,"Oct 21, 2022"
Onoda,34.0014,131.1836,65.28,80,100,2.42,JP,"Oct 21, 2022"
Saint-Pierre,-21.3393,55.4781,74.88,73,100,17.27,RE,"Oct 21, 2022"
Guerrero Negro,27.9769,-114.0611,67.93,89,14,3.94,MX,"Oct 21, 2022"
Tuatapere,-46.1333,167.6833,37.09,91,5,3.94,NZ,"Oct 21, 2022"
Tommot,58.9564,126.2925,27.01,96,100,7.2,RU,"Oct 21, 2022"
Seydi,39.4816,62.9137,73.36,15,100,9.6,TM,"Oct 21, 2022"
Leningradskiy,69.3833,178.4167,27.0,98,100,4.63,RU,"Oct 21, 2022"
Departamento de Maldonado,-34.6667,-54.9167,64.22,68,94,10.02,UY,"Oct 21, 2022"
Dongtai,32.8523,120.3095,62.96,84,73,5.82,CN,"Oct 21, 2022"
Namatanai,-3.6667,152.4333,79.43,79,60,2.08,PG,"Oct 21, 2022"
Hermanus,-34.4187,19.2345,69.8,61,5,13.62,ZA,"Oct 21, 2022"
Sitka,57.0531,-135.33,46.29,87,100,8.05,US,"Oct 21, 2022"
Kassiopi,39.7886,19.9186,74.84,70,0,3.44,GR,"Oct 21, 2022"
Esperance,-33.8667,121.9,57.31,78,100,6.89,AU,"Oct 21, 2022"
Asău,46.4333,26.4,51.28,42,0,4.0,RO,"Oct 21, 2022"
Lázaro Cárdenas,17.9583,-102.2,76.5,84,100,4.09,MX,"Oct 21, 2022"
Abnūb,27.2696,31.1511,84.49,25,0,14.65,EG,"Oct 21, 2022"
Severo-Kuril'sk,50.6789,156.125,40.91,74,53,15.79,RU,"Oct 21, 2022"
New Norfolk,-42.7826,147.0587,62.1,83,100,2.59,AU,"Oct 21, 2022"
Sisimiut,66.9395,-53.6735,38.57,88,100,28.88,GL,"Oct 21, 2022"
Tagbac,7.089,125.1567,72.39,94,100,3.33,PH,"Oct 21, 2022"
Portland,45.5234,-122.6762,51.75,86,75,4.61,US,"Oct 21, 2022"
Grenfell,-33.9,148.1667,59.45,94,25,5.32,AU,"Oct 21, 2022"
Nizwá,22.9333,57.5333,86.27,12,0,5.46,OM,"Oct 21, 2022"
Taketa,32.9652,131.3785,61.79,94,100,3.02,JP,"Oct 21, 2022"
Maumere,-8.6199,122.2111,81.77,81,23,3.13,ID,"Oct 21, 2022"
Anadyr,64.75,177.4833,26.58,91,100,16.64,RU,"Oct 21, 2022"
Inta,66.0317,60.1659,31.26,97,100,19.93,RU,"Oct 21, 2022"
Boralday,43.3578,76.8594,56.52,36,21,2.35,KZ,"Oct 21, 2022"
Praia da Vitória,38.7333,-27.0667,67.75,70,79,17.45,PT,"Oct 21, 2022"
Usinsk,65.9939,57.5281,32.34,98,100,19.73,RU,"Oct 21, 2022"
Ust-Maya,60.4167,134.5333,7.27,99,76,1.36,RU,"Oct 21, 2022"
Sikasso,10.9167,-7.0,93.79,32,26,4.16,ML,"Oct 21, 2022"
Tori-Fatehpur,25.45,79.1333,80.22,40,0,2.84,IN,"Oct 21, 2022"
Pahrump,36.2083,-115.9839,50.05,32,0,4.61,US,"Oct 21, 2022"
Ubatuba,-23.4339,-45.0711,80.11,73,100,4.09,BR,"Oct 21, 2022"
Lagunas,-5.2269,-75.6753,85.68,59,100,2.86,PE,"Oct 21, 2022"
Constitución,-35.3333,-72.4167,58.37,70,13,9.04,CL,"Oct 21, 2022"
Lodja,-3.4833,23.4333,89.28,45,94,1.77,CD,"Oct 21, 2022"
Meulaboh,4.1363,96.1285,75.07,90,100,4.36,ID,"Oct 21, 2022"
Svetlaya,46.5389,138.3297,45.46,81,64,5.66,RU,"Oct 21, 2022"
Malanje,-9.5402,16.341,82.22,43,100,2.66,AO,"Oct 21, 2022"
La Ronge,55.1001,-105.2842,42.44,56,100,12.19,CA,"Oct 21, 2022"
Iqaluit,63.7506,-68.5145,34.38,88,90,23.0,CA,"Oct 21, 2022"
Mīnāb,27.1467,57.0801,87.69,38,0,5.95,IR,"Oct 21, 2022"
Yangi Marg`ilon,40.4272,71.7189,61.52,51,22,2.3,UZ,"Oct 21, 2022"
Champerico,14.3,-91.9167,78.53,82,78,4.5,GT,"Oct 21, 2022"
Alice Springs,-23.7,133.8833,69.35,37,0,0.0,AU,"Oct 21, 2022"
Mo i Rana,66.3128,14.1428,44.33,88,40,3.44,NO,"Oct 21, 2022"
Makakilo City,21.3469,-158.0858,77.32,85,20,8.05,US,"Oct 21, 2022"
Shimoda,34.6667,138.95,63.1,73,85,10.89,JP,"Oct 21, 2022"
Kieta,-6.2167,155.6333,78.1,82,100,2.46,PG,"Oct 21, 2022"
Fayaoué,-20.65,166.5333,74.55,76,100,20.89,NC,"Oct 21, 2022"
Attock,33.7695,72.3611,73.17,32,0,3.13,PK,"Oct 21, 2022"
Pita,10.8333,-12.5833,88.25,52,14,1.54,GN,"Oct 21, 2022"
Koslan,63.4564,48.8989,32.95,84,100,10.87,RU,"Oct 21, 2022"
Villa María,-32.4075,-63.2402,79.83,34,5,6.91,AR,"Oct 21, 2022"
Dingle,10.9995,122.6711,77.61,89,83,5.28,PH,"Oct 21, 2022"
Port Elizabeth,-33.918,25.5701,69.1,94,100,5.75,ZA,"Oct 21, 2022"
Beringovskiy,63.05,179.3167,32.85,97,99,3.53,RU,"Oct 21, 2022"
Port-Gentil,-0.7193,8.7815,78.89,82,29,9.75,GA,"Oct 21, 2022"
Provincia di Ancona,43.55,13.1667,74.37,52,75,3.44,IT,"Oct 21, 2022"
Kutum,14.2,24.6667,87.73,19,41,7.85,SD,"Oct 21, 2022"
Waipawa,-41.4122,175.5153,37.74,79,3,4.18,NZ,"Oct 21, 2022"
Amazar,53.858,120.875,26.24,90,79,2.91,RU,"Oct 21, 2022"
Raebareli,26.2167,81.2333,76.48,54,0,4.7,IN,"Oct 21, 2022"
Murgab,37.4966,61.9714,78.21,15,100,8.5,TM,"Oct 21, 2022"
Te Anau,-45.4167,167.7167,34.34,95,24,1.1,NZ,"Oct 21, 2022"
Muromtsevo,56.3724,75.2418,42.46,94,100,4.59,RU,"Oct 21, 2022"
Araouane,18.9048,-3.5265,96.51,12,96,9.66,ML,"Oct 21, 2022"
Cidreira,-30.1811,-50.2056,71.96,74,42,13.22,BR,"Oct 21, 2022"
Tenosique,17.4833,-91.4333,70.95,92,100,1.14,MX,"Oct 21, 2022"
Levice,48.2156,18.6071,54.5,37,100,12.41,SK,"Oct 21, 2022"
Monte Alegre de Minas,-18.8706,-48.8808,76.46,63,99,11.86,BR,"Oct 21, 2022"
Bud,39.447,-86.1758,54.36,53,100,13.24,US,"Oct 21, 2022"
Nemuro,43.3236,145.575,59.07,76,96,15.88,JP,"Oct 21, 2022"
Ribeira Brava,32.65,-17.0667,77.72,93,100,3.33,PT,"Oct 21, 2022"
Norman Wells,65.282,-126.8329,26.96,94,100,1.23,CA,"Oct 21, 2022"
Santo André,-23.6639,-46.5383,75.13,80,100,19.84,BR,"Oct 21, 2022"
Bubaque,11.2833,-15.8333,81.91,70,33,3.78,GW,"Oct 21, 2022"
Mossamedes,-15.1961,12.1522,72.59,68,18,11.36,AO,"Oct 21, 2022"
Waingapu,-9.6567,120.2641,82.51,80,71,3.38,ID,"Oct 21, 2022"
Tiznit Province,29.5833,-9.5,89.37,14,6,13.85,MA,"Oct 21, 2022"
Nukus,42.4531,59.6103,69.78,32,88,0.0,UZ,"Oct 21, 2022"
Santa Eulalia,-11.85,-76.6833,36.0,34,80,8.01,PE,"Oct 21, 2022"
Shimanovsk,52.0,127.7,32.11,61,100,5.99,RU,"Oct 21, 2022"
Nikolskoye,59.7035,30.7861,44.49,92,100,2.71,RU,"Oct 21, 2022"
Weiser,44.251,-116.9693,46.87,57,35,2.26,US,"Oct 21, 2022"
Keflavik,64.0049,-22.5624,43.23,65,0,6.91,IS,"Oct 21, 2022"
Tilichiki,60.4667,166.1,14.79,88,28,5.46,RU,"Oct 21, 2022"
Saurimo,-9.6608,20.3916,89.33,29,88,5.35,AO,"Oct 21, 2022"
Krasnomayskiy,57.6194,34.4099,41.38,88,100,2.55,RU,"Oct 21, 2022"
Selizharovo,56.8519,33.4487,41.54,89,100,3.91,RU,"Oct 21, 2022"
Ulladulla,-35.35,150.4667,63.25,97,100,9.22,AU,"Oct 21, 2022"
Altay,47.8667,88.1167,39.94,62,25,6.33,CN,"Oct 21, 2022"
Tiarei,-17.5333,-149.3333,77.27,80,19,16.89,PF,"Oct 21, 2022"
Karoi,-16.8099,29.6925,82.11,29,74,11.25,ZW,"Oct 21, 2022"
Chalmette,29.9427,-89.9634,69.01,56,0,8.05,US,"Oct 21, 2022"
Vila Franca do Campo,37.7167,-25.4333,68.41,60,57,12.28,PT,"Oct 21, 2022"
Orlik,52.5178,99.825,27.93,77,99,4.41,RU,"Oct 21, 2022"
Tura,25.5198,90.2201,69.19,82,0,5.12,IN,"Oct 21, 2022"
College,64.8569,-147.8028,34.59,94,100,8.05,US,"Oct 21, 2022"
Boa Vista,2.8197,-60.6733,88.23,58,100,8.1,BR,"Oct 21, 2022"
Cockburn Town,21.4612,-71.1419,83.53,75,97,15.46,TC,"Oct 21, 2022"
Mormugao,15.4,73.8,81.1,81,41,5.23,IN,"Oct 21, 2022"
Point Fortin,10.1833,-61.6833,87.89,76,8,5.23,TT,"Oct 21, 2022"
Zambezi,-13.5432,23.1047,92.52,19,86,6.64,ZM,"Oct 21, 2022"
Hasaki,35.7333,140.8333,63.0,66,50,18.05,JP,"Oct 21, 2022"
Freeport,40.6576,-73.5832,59.05,65,0,1.01,US,"Oct 21, 2022"
Alyangula,-13.8483,136.4192,82.9,82,40,11.54,AU,"Oct 21, 2022"
Hong Gai,20.956,107.0946,71.51,85,99,3.51,VN,"Oct 21, 2022"
Lüderitz,-26.6481,15.1594,70.07,61,4,30.74,NA,"Oct 21, 2022"
Aklavik,68.2191,-135.0107,18.39,97,100,1.61,CA,"Oct 21, 2022"
Aitape,-3.1374,142.3475,78.19,86,100,1.68,PG,"Oct 21, 2022"
Destin,30.3935,-86.4958,62.6,57,0,9.22,US,"Oct 21, 2022"
Gurupá,-1.405,-51.64,92.46,46,50,3.85,BR,"Oct 21, 2022"
Havøysund,70.9963,24.6622,35.83,72,100,10.31,NO,"Oct 21, 2022"
Tandil,-37.3217,-59.1332,60.69,34,16,13.76,AR,"Oct 21, 2022"
Baruun-Urt,46.6806,113.2792,33.44,68,99,7.25,MN,"Oct 21, 2022"
Jaqué,7.5175,-78.1703,79.56,84,74,6.35,PA,"Oct 21, 2022"
Flinders,-34.5833,150.8552,67.17,90,100,4.0,AU,"Oct 21, 2022"
São João da Barra,-21.6403,-41.0511,79.29,70,50,20.54,BR,"Oct 21, 2022"
Mossendjo,-2.9506,12.7261,75.22,87,100,1.9,CG,"Oct 21, 2022"
Belaya Gora,68.5333,146.4167,1.54,91,66,5.03,RU,"Oct 21, 2022"
Khani,41.9563,42.9566,45.97,90,100,1.97,GE,"Oct 21, 2022"
Banda Aceh,5.5577,95.3222,79.43,78,100,14.65,ID,"Oct 21, 2022"
Port Hardy,50.6996,-127.4199,48.47,86,100,7.72,CA,"Oct 21, 2022"
Santa Isabel Rio Negro,-0.4139,-65.0192,74.1,98,100,1.16,BR,"Oct 21, 2022"
Lorengau,-2.0226,147.2712,81.12,76,24,4.79,PG,"Oct 21, 2022"
Mana,5.6592,-53.7767,86.92,64,46,6.71,GF,"Oct 21, 2022"
Bonthe,7.5264,-12.505,81.57,77,58,5.32,SL,"Oct 21, 2022"
Horqueta,-23.3428,-57.0597,76.8,59,4,7.29,PY,"Oct 21, 2022"
Bambanglipuro,-7.95,110.2833,75.7,94,100,3.27,ID,"Oct 21, 2022"
Alice,27.7523,-98.0697,63.55,91,0,5.75,US,"Oct 21, 2022"
Luena,-11.7833,19.9167,86.05,28,90,6.02,AO,"Oct 21, 2022"
High Level,58.5169,-117.136,37.51,100,100,2.3,CA,"Oct 21, 2022"
Codrington,-38.2667,141.9667,59.4,99,100,4.21,AU,"Oct 21, 2022"
Tubmanburg,6.8708,-10.8172,86.49,62,77,5.35,LR,"Oct 21, 2022"
Eyl,7.9803,49.8164,80.91,73,63,17.49,SO,"Oct 21, 2022"
Maniitsoq,65.4167,-52.9,37.51,92,100,41.58,GL,"Oct 21, 2022"
Nantucket,41.2835,-70.0995,62.74,67,8,3.53,US,"Oct 21, 2022"
